@relation kitchenham_normalized

@attribute Project numeric
@attribute Client.code numeric
@attribute Project.type numeric
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute First.estimate numeric
@attribute First.estimate.method numeric

@data
91,2,3.0,130,2393,162.61,4576,0
92,2,2.0,389,15673,1210.99,14226,4
93,2,2.0,166,2972,156.42,6080,4
94,2,3.0,148,4068,603.58,4046,4
95,2,3.0,131,698,73.92,649,4
96,2,3.0,144,676,121.55,817,4
97,2,?,369,6307,1234.2,6340,4
98,2,3.0,155,219,35,300,4
99,2,?,102,254,61.06,315,4
100,2,3.0,149,324,162,750,4
101,2,3.0,548,874,1285.7,898,4
102,2,2.0,946,113930,18137.48,79870,4
103,2,2.0,186,1722,1020.6,1600,4
104,2,2.0,212,1660,377,1702,4
105,2,3.0,84,693,210.45,592,4
106,2,2.0,250,1455,410,2158,4
107,2,2.0,86,988,279,994,4
108,2,2.0,102,1940,240,1875,4
109,2,3.0,137,2408,230,2527,4
110,2,2.0,87,1737,150.29,2606,4
111,2,2.0,291,12646,1940.68,12694,4
112,2,2.0,392,4414,401,4176,4
113,2,2.0,165,2480,267,2240,4
114,2,2.0,88,980,102,980,4
115,2,2.0,249,3189,403,3720,4
116,2,2.0,186,2895,857,2914,4
117,2,2.0,63,322,69,360,4
118,2,0.0,192,3555,980.95,3700,4
119,2,3.0,123,570,100.8,200,4
120,2,3.0,123,464,105.28,578,4
121,2,2.0,186,1742,158.4,1652,4
122,2,2.0,119,896,219.88,780,0
123,2,3.0,195,8656,1292.56,8690,4
124,2,3.0,210,3966,616.08,3748,4
125,2,2.0,180,989,103.4,710,4
126,2,3.0,238,585,74.4,856,4
127,2,3.0,144,1860,356.31,2436,4
128,2,3.0,432,5249,862,4101,4
129,2,3.0,392,5192,791.84,5231,4
130,2,2.0,205,1832,661.27,2853,0
131,2,2.0,49,928,179,1246,4
132,3,3.0,205,2570,518.4,2570,4
133,3,2.0,145,1328,370,1328,4
134,3,2.0,172,2964,839.05,3380,4
135,3,3.0,137,1304,243.86,1522,4
136,4,2.0,371,1631,557.28,2264,4
137,4,1.0,217,955,485.94,2790,4
138,4,2.0,308,286,698.54,1312,4
139,4,2.0,217,1432,752.64,2210,0
140,5,2.0,40,321,809.25,337,4
141,6,3.0,253,593,178.1,865,4
142,6,3.0,405,302,81.48,441,4
143,6,3.0,241,2634,1093.86,2731,4
144,6,?,156,1040,1002.76,1039,4
145,2,2.0,92,887,551.88,1393,0
